"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),PE_Ratio,Industry_PE,Last_Quarter_Profit,Last_Year_Same_Quarter_Profit
"LTIM.NS, Long, 2026-02-10 (Price: 5662.0)",No Exit Yet,"-9.27%, 3 days","76.92%, Past 4 years, 13","Daily, was CONFIRMED on 2026-02-10",Already confirmed,"2026-02-13 (Price: 5137.0), 9.27% below",3 days,6.47%/1.94%/4.4%,"12.66%, 12.66%",1.7 month/1 day/14 days,2026-04-24/2026-02-11/2026-03-02,7.26%,5.04%,2.22%,0.18,0.26,5987.565/5911.128/5949.35/7576.875/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,5561.5/3789.4833/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/5490.94,90.14%/71/10 days (Across ALL Assets),72.94%/1105/16 days (Across ALL Assets),32.00825,28.0,9706000000.0,12510000000.0
"PERSISTENT.NS, Long, 2026-02-10 (Price: 5872.5)",No Exit Yet,"-7.01%, 3 days","81.82%, Past 4 years, 11","Daily, was CONFIRMED on 2026-02-10",Already confirmed,"2026-02-13 (Price: 5461.0), 7.01% below",3 days,7.4%/3.1%/5.21%,"14.46%, 17.38%",24 days/5 days/12 days,2026-03-16/2026-02-17/2026-02-27,9.34%,33.68%,-24.34%,0.24,1.66,6358.743/6178.4573/6268.6/6693.95/9957.5854/15965.083/No EMA 200 Target,5852.0/1548.5125/3950.0879/2531.9096/No F-Track Level/No F-Track Level/5775.05,90.14%/71/10 days (Across ALL Assets),72.94%/1105/16 days (Across ALL Assets),49.25009,28.0,4394540000.0,3249970000.0
"TCS.NS, Long, 2026-02-10 (Price: 2984.6001)",No Exit Yet,"-9.84%, 3 days","86.67%, Past 4 years, 15","Daily, was CONFIRMED on 2026-02-10",Already confirmed,"2026-02-13 (Price: 2690.8), 9.84% below",3 days,5.68%/1.73%/3.28%,"4.58%, 4.96%",21 days/1 day/10 days,2026-03-12/2026-02-11/2026-02-24,13.0%,0.15%,12.85%,0.85,-0.1,3185.1652/3082.495/3133.83/4543.575/5637.7577/6711.0756/3195.94,2941.6/2934.3251/2673.7939/2299.5932/No F-Track Level/No F-Track Level/No EMA 200 Support,90.14%/71/10 days (Across ALL Assets),72.94%/1105/16 days (Across ALL Assets),20.361362,28.0,106570000000.0,119090000000.0
"ZENSARTECH.NS, Long, 2026-02-10 (Price: 622.85)",No Exit Yet,"-5.1%, 3 days","87.5%, Past 4 years, 8","Daily, was CONFIRMED on 2026-02-10",Already confirmed,"2026-02-13 (Price: 591.1), 5.1% below",3 days,6.82%/3.31%/4.79%,"16.53%, 16.53%",2.3 months/4 days/25 days,2026-05-20/2026-02-15/2026-03-18,8.21%,16.35%,-8.14%,0.25,0.75,619.9226/652.6845/636.3/881.475/1022.9682/1142.9104/770.46,No Recent Minima/249.5833/539.3979/488.9602/No F-Track Level/No F-Track Level/No EMA 200 Support,90.14%/71/10 days (Across ALL Assets),72.94%/1105/16 days (Across ALL Assets),18.299225,28.0,1998000000.0,1557000000.0
"HCLTECH.NS, Long, 2026-02-09 (Price: 1602.0)",2026-02-13 (Price: 1463.0),"-8.68%, 4 days","71.43%, Past 4 years, 14","Daily, was CONFIRMED on 2026-02-09",Already confirmed,"2026-02-13 (Price: 1463.0), 8.68% below",4 days,5.6%/1.82%/3.16%,"10.55%, 11.58%",1.9 month/1 day/20 days,2026-05-02/2026-02-10/2026-03-09,3.88%,6.58%,-2.7%,0.02,0.35,1674.2502/1652.6232/1663.44/No Horizontal Resistance/1944.8615/2570.623/No EMA 200 Target,1593.7/883.45/1558.1115/1119.8583/No F-Track Level/No F-Track Level/1583.95,90.14%/71/10 days (Across ALL Assets),72.94%/1105/16 days (Across ALL Assets),24.076149,28.0,40760000000.0,45910000000.0
"INTELLECT.NS, Long, 2026-02-09 (Price: 771.7)",No Exit Yet,"-10.41%, 4 days","71.43%, Past 4 years, 14","Daily, was CONFIRMED on 2026-02-09",Already confirmed,"2026-02-13 (Price: 691.35), 10.41% below",4 days,10.8%/3.99%/6.03%,"14.34%, 15.14%",1.4 month/3 days/14 days,2026-04-10/2026-02-13/2026-03-01,4.06%,14.89%,-10.83%,0.03,0.68,825.6418/818.2335/821.94/1249.8/1276.4727/1378.1863/1020.99,760.4/391.05/619.2335/403.4835/No F-Track Level/No F-Track Level/No EMA 200 Support,90.14%/71/10 days (Across ALL Assets),72.94%/1105/16 days (Across ALL Assets),26.987856,20.0,284480000.0,528060000.0
"NAUKRI.NS, Long, 2026-02-09 (Price: 1177.3)",No Exit Yet,"-4.41%, 4 days","92.31%, Past 4 years, 13","Daily, was CONFIRMED on 2026-02-09",Already confirmed,"2026-02-13 (Price: 1125.4), 4.41% below",4 days,13.47%/3.4%/6.04%,"12.03%, 13.55%",1.5 month/1 day/11 days,2026-04-15/2026-02-10/2026-02-24,20.26%,2.71%,17.55%,0.84,0.17,1299.1505/1248.4089/1273.78/1483.595/2223.4618/2377.3661/1374.07,1130.4/662.12/1095.4447/920.5126/No F-Track Level/No F-Track Level/No EMA 200 Support,90.14%/71/10 days (Across ALL Assets),72.94%/1105/16 days (Across ALL Assets),55.929203,20.0,3163950000.0,232590000.0
"KPITTECH.NS, Long, 2026-02-04 (Price: 981.4)",2026-02-13 (Price: 862.7),"-12.09%, 9 days","91.67%, Past 4 years, 12","Daily, was CONFIRMED on 2026-02-04",Already confirmed,"2026-02-13 (Price: 862.7), 12.09% below",9 days,8.72%/2.64%/5.24%,"7.55%, 7.55%",24 days/1 day/9 days,2026-03-10/2026-02-05/2026-02-17,30.89%,35.14%,-4.25%,1.03,1.55,1089.1577/1032.8254/1060.99/1924.85/2233.9378/3556.3685/1218.73,No Recent Minima/628.775/911.5071/599.3236/No F-Track Level/No F-Track Level/No EMA 200 Support,90.14%/71/10 days (Across ALL Assets),72.94%/1105/16 days (Across ALL Assets),32.69962,20.0,1333040000.0,1869700000.0
"NH.NS, Long, 2026-01-28 (Price: 1761.6)",2026-02-11 (Price: 1856.2),"5.37%, 14 days","85.71%, Past 4 years, 7","Daily, was CONFIRMED on 2026-01-28",Already confirmed,"2026-02-13 (Price: 1847.4), 4.87% above",16 days,5.23%/2.77%/4.09%,"11.22%, 11.22%",20 days/3 days/9 days,2026-02-25/2026-02-01/2026-02-10,7.49%,21.62%,-14.13%,0.29,1.11,1813.5672/1833.6494/1823.61/No Horizontal Resistance/2437.8702/2621.5668/1844.9,1725.9/564.35/1693.0815/1405.6812/No F-Track Level/No F-Track Level/No EMA 200 Support,90.14%/71/10 days (Across ALL Assets),72.94%/1105/16 days (Across ALL Assets),44.188507,20.0,2583710000.0,1986330000.0
"TATACOMM.NS, Long, 2026-01-27 (Price: 1556.2)",2026-02-10 (Price: 1676.8),"7.75%, 14 days","70.0%, Past 4 years, 10","Daily, was CONFIRMED on 2026-01-27",Already confirmed,"2026-02-13 (Price: 1672.6), 7.48% above",17 days,7.36%/3.36%/4.24%,"13.46%, 14.3%",1.3 month/1 day/12 days,2026-03-24/2026-01-28/2026-02-13,2.61%,7.15%,-4.54%,-0.04,0.37,1615.18/1622.1829/1618.68/1962.45/2367.2171/2716.922/1717.53,1547.9/1181.4/1084.2613/765.9123/No F-Track Level/No F-Track Level/No EMA 200 Support,90.14%/71/10 days (Across ALL Assets),72.94%/1105/16 days (Across ALL Assets),30.98779,20.0,3652800000.0,2272300000.0
