"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),PE_Ratio,Industry_PE,Last_Quarter_Profit,Last_Year_Same_Quarter_Profit
"BLUESTARCO.NS, Long, 2026-02-13 (Price: 2002.5)",No Exit Yet,"0.0%, 0 days","92.86%, Past 4 years, 14","Daily, is CONFIRMED on 2026-02-13",Already confirmed,"2026-02-13 (Price: 2002.5), 0.0% below",0 days,"2, 2020-01-16 (Price: 434.5)",2026-02-11 (Price: 1957.5),2026-02-13 (Price: 2002.5),2/0/0 days,2.3% above/0.0% below/0.0% below,2020-01-16 (Price: 434.5)/2026-02-13 (Price: 1938.9261),13.07%/0.85%/4.79%,"18.65%, 34.45%",1.2 month/7 days/17 days,2026-04-06/2026-02-23/2026-03-09,11.07%,19.19%,-8.12%,0.44,0.94,2180.5222/2098.4198/2943.3/2036.45/2350.133/2514.1831/No EMA 200 Target,1667.5/423.85/1540.2098/1315.5968/No F-Track Level/No F-Track Level/1787.21,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),83.63372,20.0,806600000.0,961900000.0
"DRREDDY.NS, Long, 2026-02-13 (Price: 1275.5)",No Exit Yet,"0.0%, 0 days","100.0%, Past 4 years, 30","Daily, is CONFIRMED on 2026-02-13",Already confirmed,"2026-02-13 (Price: 1275.5), 0.0% below",0 days,"6, 2025-06-12 (Price: 1379.7)",2026-02-11 (Price: 1270.0),2026-02-13 (Price: 1275.5),2/0/0 days,0.43% above/0.0% below/0.0% below,2025-06-12 (Price: 1379.7)/2026-02-13 (Price: 1252.4832),5.7%/0.81%/3.4%,"-0.0%, 24.21%",4 months/7 days/1 month,2026-08-05/2026-02-23/2026-03-28,16.5%,9.66%,6.84%,2.26,0.54,1335.4485/1318.867/1338.02/1402.3633/1484.6206/1604.7586/No EMA 200 Target,1157.2/803.7/1152.9738/1008.4883/No F-Track Level/No F-Track Level/1254.84,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),18.749632,20.0,12098000000.0,14133000000.0
"MFSL.NS, Long, 2026-02-13 (Price: 1838.5)",No Exit Yet,"0.0%, 0 days","80.0%, Past 4 years, 20","Daily, is CONFIRMED on 2026-02-13",Already confirmed,"2026-02-13 (Price: 1838.5), 0.0% below",0 days,"0, 2021-01-08 (Price: 740.45)",2026-02-12 (Price: 1813.5),2026-02-13 (Price: 1838.5),1/0/0 days,1.38% above/0.0% below/0.0% below,2021-01-08 (Price: 740.45)/2026-02-13 (Price: 1796.1353),9.23%/2.35%/5.66%,"17.53%, 28.68%",4.1 months/8 days/1.6 month,2026-08-08/2026-02-24/2026-04-23,13.68%,14.49%,-0.81%,0.13,0.7,1923.9903/1942.5591/2497.33/No Horizontal Resistance/1792.5323/1920.7069/No EMA 200 Target,1576.6/698.25/1557.7732/1423.1278/No F-Track Level/No F-Track Level/1586.32,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),441.72662,20.0,41200000.0,1125600000.0
"APOLLOHOSP.NS, Long, 2026-02-12 (Price: 7539.0)",No Exit Yet,"0.18%, 1 day","94.44%, Past 4 years, 18","Daily, is CONFIRMED on 2026-02-12",Already confirmed,"2026-02-13 (Price: 7552.5), 0.18% above",1 day,"4, 2025-10-23 (Price: 8099.5)",2026-02-10 (Price: 7219.0),2026-02-12 (Price: 7539.0),3/1/1 days,4.62% above/0.18% above/0.18% above,2025-10-23 (Price: 8099.5)/2026-02-12 (Price: 7194.0096),4.47%/0.92%/3.3%,"10.35%, 28.71%",3.7 months/6 days/20 days,2026-07-22/2026-02-20/2026-03-12,11.61%,21.04%,-9.43%,0.72,1.07,7893.333/7787.787/7875.3/8039.75/10328.7816/16124.9701/No EMA 200 Target,6793.5/4147.0/6746.5385/4532.5931/No F-Track Level/No F-Track Level/7335.36,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),60.623253,20.0,5023000000.0,3788000000.0
"BRITANNIA.NS, Long, 2026-02-12 (Price: 6102.0)",No Exit Yet,"-1.63%, 1 day","100.0%, Past 4 years, 20","Daily, is CONFIRMED on 2026-02-12",Already confirmed,"2026-02-13 (Price: 6002.5), 1.63% below",1 day,"2, 2026-01-07 (Price: 6271.0)",2026-02-10 (Price: 5873.5),2026-02-12 (Price: 6102.0),3/1/1 days,2.2% above/1.63% below/1.63% below,2026-01-07 (Price: 6271.0)/2026-02-12 (Price: 5860.5833),7.03%/1.85%/4.89%,"-0.0%, 12.04%",2.7 months/6 days/17 days,2026-06-09/2026-02-20/2026-03-08,21.21%,8.22%,12.99%,2.55,0.46,6333.876/6400.3878/6203.4/6334.6/6601.4005/10514.0702/No EMA 200 Target,5723.0/3393.1667/4099.0388/2552.4941/No F-Track Level/No F-Track Level/5803.57,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),60.07295,20.0,6799600000.0,5314500000.0
"EICHERMOT.NS, Long, 2026-02-12 (Price: 7943.0)",No Exit Yet,"1.55%, 1 day","95.45%, Past 4 years, 22","Daily, is CONFIRMED on 2026-02-12",Already confirmed,"2026-02-13 (Price: 8066.0), 1.55% above",1 day,"0, 2020-07-30 (Price: 2172.5)",2026-02-10 (Price: 7296.0),2026-02-12 (Price: 7943.0),3/1/1 days,10.55% above/1.55% above/1.55% above,2020-07-30 (Price: 2172.5)/2026-02-12 (Price: 7498.5615),10.11%/1.33%/4.38%,"4.7%, 19.12%",3.4 months/8 days/22 days,2026-07-09/2026-02-23/2026-03-15,23.6%,14.99%,8.61%,1.15,0.79,8885.0398/8290.9034/11405.3/No Horizontal Resistance/9416.2354/14426.4332/No EMA 200 Target,6973.0/2324.5667/6319.7878/5538.8055/No F-Track Level/No F-Track Level/6418.58,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),41.220573,20.0,14206100000.0,11705000000.0
"TVSMOTOR.NS, Long, 2026-02-12 (Price: 3881.2)",No Exit Yet,"0.09%, 1 day","100.0%, Past 4 years, 27","Daily, is CONFIRMED on 2026-02-12",Already confirmed,"2026-02-13 (Price: 3884.5), 0.09% above",1 day,"0, 2025-09-08 (Price: 3602.7)",2026-02-11 (Price: 3877.3),2026-02-12 (Price: 3881.2),2/1/1 days,0.19% above/0.09% above/0.09% above,2025-09-08 (Price: 3602.7)/2026-02-12 (Price: 3800.9998),8.84%/0.64%/3.7%,"0%, 12.99%",2.1 months/6 days/21 days,2026-05-14/2026-02-20/2026-03-14,23.8%,27.39%,-3.59%,1.63,1.45,4171.5138/4024.8044/4048.3/No Horizontal Resistance/5232.2497/5544.7835/No EMA 200 Target,3549.8/518.325/3540.5201/3236.888/No F-Track Level/No F-Track Level/3277.16,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),84.042,20.0,8412900000.0,5604900000.0
"IDBI.NS, Long, 2026-02-11 (Price: 110.64)",No Exit Yet,"1.42%, 2 days","71.43%, Past 4 years, 21","Daily, is CONFIRMED on 2026-02-11",Already confirmed,"2026-02-13 (Price: 112.21), 1.42% above",2 days,"0, 2025-06-05 (Price: 104.4)",2026-02-11 (Price: 110.64),2026-02-11 (Price: 110.64),2/2/2 days,1.42% above/1.42% above/1.42% above,2025-06-05 (Price: 104.4)/2026-02-11 (Price: 107.5053),20.74%/2.65%/6.81%,"20.74%, 41.32%",4.9 months/6 days/23 days,2026-09-11/2026-02-19/2026-03-16,7.78%,12.26%,-4.48%,0.0,0.58,120.9738/118.1746/114.38/No Horizontal Resistance/183.6149/204.452/No EMA 200 Target,95.46/36.35/104.0595/97.4542/No F-Track Level/No F-Track Level/95.83,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),12.931713,20.0,19540900000.0,18608000000.0
"LALPATHLAB.NS, Long, 2026-02-11 (Price: 1445.0)",No Exit Yet,"-2.73%, 2 days","85.0%, Past 4 years, 20","Daily, is CONFIRMED on 2026-02-11",Already confirmed,"2026-02-13 (Price: 1405.5), 2.73% below",2 days,"2, 2025-09-19 (Price: 1770.0)",2026-02-10 (Price: 1455.8),2026-02-11 (Price: 1445.0),3/2/2 days,3.46% below/2.73% below/2.73% below,2025-09-19 (Price: 1770.0)/2026-02-11 (Price: 1433.3741),11.45%/2.23%/6.66%,"37.22%, 52.75%",2.8 months/6 days/20 days,2026-06-12/2026-02-19/2026-03-11,5.65%,7.83%,-2.18%,0.2,0.4,1561.3225/1541.237/1640.0/1650.075/2477.5576/2634.1521/1503.78,1376.4/891.9/1245.124/1184.5255/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),44.452187,20.0,905000000.0,967000000.0
"MRF.NS, Long, 2026-02-11 (Price: 151450.0)",No Exit Yet,"-0.1%, 2 days","88.0%, Past 4 years, 25","Daily, is CONFIRMED on 2026-02-11",Already confirmed,"2026-02-13 (Price: 151295.0), 0.1% below",2 days,"2, 2025-10-20 (Price: 163400.0)",2026-02-10 (Price: 148640.0),2026-02-11 (Price: 151450.0),3/2/2 days,1.79% above/0.1% below/0.1% below,2025-10-20 (Price: 163400.0)/2026-02-11 (Price: 148207.4251),7.39%/0.49%/4.06%,"12.54%, 27.18%",7.7 months/7 days/1.1 month,2027-01-11/2026-02-21/2026-03-30,11.84%,10.83%,1.01%,0.3,0.61,164686.73/157598.87/158620.0/No Horizontal Resistance/172055.1324/190522.286/No EMA 200 Target,130915.0/77211.1/123826.6135/118378.5068/No F-Track Level/No F-Track Level/147114.52,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),28.751776,20.0,6918300000.0,3154600000.0
