"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price,PE_Ratio,Industry_PE,Last_Quarter_Profit,Last_Year_Same_Quarter_Profit
"AFFLE.NS, Long, 2026-02-09 (Price: 1665.2)",No Exit Yet,"0.0%, 0 days","88.0%, Past 4 years, 25","Daily, is CONFIRMED on 2026-02-09",Already confirmed,"2026-02-09 (Price: 1665.2), 0.0% below",0 days,"8, 2025-07-14 (Price: 1966.6)",2026-02-06 (Price: 1647.4),2026-02-09 (Price: 1665.2),3/0/0 days,1.08% above/0.0% below/0.0% below,2025-07-14 (Price: 2393.6979)/2026-02-09 (Price: 1638.1786),17.89%/2.24%/6.69%,"12.93%, 28.67%",5.8 months/7 days/1.3 month,2026-10-19/2026-02-19/2026-04-06,25.88%,21.97%,3.91%,0.58,1.0,1809.4063/1776.6019/1846.04/1742.2667/2277.0798/2402.944/1823.63,1534.8/869.025/1540.9282/1279.3405/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),1654.0,53.37075,20.0,1193240000.0,919910000.0
"ATUL.NS, Long, 2026-02-09 (Price: 6511.5)",No Exit Yet,"0.0%, 0 days","90.48%, Past 4 years, 21","Daily, is CONFIRMED on 2026-02-09",Already confirmed,"2026-02-09 (Price: 6511.5), 0.0% below",0 days,"2, 2025-12-18 (Price: 5799.5)",2026-02-06 (Price: 6459.0),2026-02-09 (Price: 6511.5),3/0/0 days,0.81% above/0.0% below/0.0% below,2025-12-18 (Price: 6161.9618)/2026-02-09 (Price: 6347.7634),13.13%/0.46%/5.09%,"17.37%, 25.96%",2.7 months/7 days/26 days,2026-06-06/2026-02-19/2026-03-18,11.38%,4.85%,6.53%,0.44,0.25,7042.8384/6842.9353/6938.7/10824.4001/12269.9576/13179.5057/No EMA 200 Target,5664.5/5668.0/6276.8056/5827.6988/No F-Track Level/No F-Track Level/6437.59,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),6499.0,32.922054,20.0,1607400000.0,1368100000.0
"BHARATWIRE.NS, Long, 2026-02-09 (Price: 173.78)",No Exit Yet,"0.0%, 0 days","96.43%, Past 4 years, 28","Daily, is CONFIRMED on 2026-02-09",Already confirmed,"2026-02-09 (Price: 173.78), 0.0% below",0 days,"2, 2025-12-18 (Price: 174.25)",2026-02-06 (Price: 171.06),2026-02-09 (Price: 173.78),3/0/0 days,1.59% above/0.0% below/0.0% below,2025-12-18 (Price: 200.9578)/2026-02-09 (Price: 169.4817),26.72%/2.42%/11.66%,"5.66%, 42.97%",4.2 months/7 days/1.2 month,2026-08-10/2026-02-19/2026-04-02,47.72%,26.53%,21.19%,1.36,1.07,189.5245/194.0427/174.06/297.625/366.0699/486.1823/185.49,159.41/86.7375/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),171.01,15.94539,20.0,182486000.0,148841000.0
"CEATLTD.NS, Long, 2026-02-09 (Price: 4021.8999)",No Exit Yet,"0.0%, 0 days","95.83%, Past 4 years, 24","Daily, is CONFIRMED on 2026-02-09",Already confirmed,"2026-02-09 (Price: 4021.8999), 0.0% below",0 days,"4, 2025-10-08 (Price: 3506.6001)",2026-02-05 (Price: 3878.1001),2026-02-09 (Price: 4021.8999),4/0/0 days,3.71% above/0.0% below/0.0% below,2025-10-08 (Price: 4512.6782)/2026-02-09 (Price: 3841.8247),19.21%/1.46%/5.31%,"3.9%, 24.59%",4 months/6 days/1.5 month,2026-08-01/2026-02-17/2026-04-15,24.34%,17.32%,7.02%,0.92,0.82,4377.838/4235.4628/4331.08/4044.0/4937.5719/5697.8144/No EMA 200 Target,3545.1/1265.1/3824.3322/3079.4707/No F-Track Level/No F-Track Level/3654.66,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),3975.0,29.260937,20.0,1557700000.0,1218800000.0
"GICRE.NS, Long, 2026-02-09 (Price: 384.35)",No Exit Yet,"0.0%, 0 days","85.29%, Past 4 years, 34","Daily, is CONFIRMED on 2026-02-09",Already confirmed,"2026-02-09 (Price: 384.35), 0.0% below",0 days,"2, 2025-12-17 (Price: 368.2)",2026-02-06 (Price: 380.55),2026-02-09 (Price: 384.35),3/0/0 days,1.0% above/0.0% below/0.0% below,2025-12-17 (Price: 400.0235)/2026-02-09 (Price: 372.9176),12.84%/2.16%/4.81%,"10.75%, 19.23%",1.8 month/9 days/25 days,2026-04-28/2026-02-22/2026-03-17,18.77%,5.68%,13.09%,0.49,0.34,419.4796/402.8372/394.04/454.7/644.3771/977.6042/384.44,370.55/117.0/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),373.05,7.259887,20.0,17256600000.0,16766200000.0
"MGL.NS, Long, 2026-02-09 (Price: 1174.0)",No Exit Yet,"0.0%, 0 days","93.75%, Past 4 years, 16","Daily, is CONFIRMED on 2026-02-09",Already confirmed,"2026-02-09 (Price: 1174.0), 0.0% below",0 days,"0, 2024-04-18 (Price: 1401.2)",2026-02-06 (Price: 1152.6),2026-02-09 (Price: 1174.0),3/0/0 days,1.86% above/0.0% below/0.0% below,2024-04-18 (Price: 2302.0)/2026-02-09 (Price: 1120.75),9.31%/1.18%/4.91%,"0.2%, 43.02%",3.1 months/7 days/26 days,2026-06-23/2026-02-19/2026-03-18,7.57%,1.29%,6.28%,1.24,0.11,1243.266/1231.6434/1310.32/1583.45/2422.7314/3151.7157/1283.8,1028.6/672.9/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),1148.5,12.164767,16.0,2011500000.0,2867900000.0
"NAVINFLUOR.NS, Long, 2026-02-09 (Price: 6552.0)",No Exit Yet,"0.0%, 0 days","80.0%, Past 4 years, 15","Daily, is CONFIRMED on 2026-02-09",Already confirmed,"2026-02-09 (Price: 6552.0), 0.0% below",0 days,"0, 2024-04-16 (Price: 3229.5)",2026-02-06 (Price: 6417.5),2026-02-09 (Price: 6552.0),3/0/0 days,2.1% above/0.0% below/0.0% below,2024-04-16 (Price: 4876.0769)/2026-02-09 (Price: 6347.2308),15.23%/1.49%/6.95%,"30.7%, 37.6%",2.7 months/7 days/1 month,2026-06-06/2026-02-19/2026-03-24,6.66%,22.58%,-15.92%,-0.03,1.06,7029.6408/7007.364/8545.5/No Horizontal Resistance/6666.2406/7809.6842/No EMA 200 Target,5698.5/2887.6/5980.5841/4132.2473/No F-Track Level/No F-Track Level/5151.09,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),6500.0,58.571297,20.0,1171600000.0,512000000.0
"CUMMINSIND.NS, Long, 2026-02-06 (Price: 4368.3999)",No Exit Yet,"0.81%, 3 days","86.96%, Past 4 years, 23","Daily, is CONFIRMED on 2026-02-06",Already confirmed,"2026-02-09 (Price: 4403.8999), 0.81% above",3 days,"2, 2025-12-08 (Price: 4467.0)",2026-02-04 (Price: 4197.5),2026-02-06 (Price: 4368.3999),5/3/3 days,4.92% above/0.81% above/0.81% above,2025-12-08 (Price: 4736.8665)/2026-02-06 (Price: 4008.0167),10.25%/1.35%/4.71%,"8.35%, 26.72%",1.3 month/7 days/20 days,2026-04-03/2026-02-16/2026-03-06,20.74%,27.61%,-6.87%,0.88,1.42,4812.6662/4574.1515/4427.56/No Horizontal Resistance/4738.6704/5587.1395/No EMA 200 Target,3928.3/940.675/4349.1217/3536.7289/No F-Track Level/No F-Track Level/3814.36,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),4319.1001,54.533447,20.0,4860600000.0,4493700000.0
"GATEWAY.NS, Long, 2026-02-06 (Price: 60.74)",No Exit Yet,"5.15%, 3 days","78.57%, Past 4 years, 14","Daily, is CONFIRMED on 2026-02-06",Already confirmed,"2026-02-09 (Price: 63.87), 5.15% above",3 days,"8, 2025-07-10 (Price: 66.99)",2026-02-06 (Price: 60.74),2026-02-06 (Price: 60.74),3/3/3 days,5.15% above/5.15% above/5.15% above,2025-07-10 (Price: 77.2787)/2026-02-06 (Price: 59.7697),6.84%/3.37%/4.33%,"41.91%, 48.06%",2.8 months/6 days/21 days,2026-06-07/2026-02-14/2026-03-08,-11.92%,-3.26%,-8.66%,-0.09,-0.15,61.7361/63.37/64.49/92.65/124.1872/136.7964/62.84,55.98/57.2967/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),60.0,2157.6667,20.0,678439000.0,599121000.0
"GLAXO.NS, Long, 2026-02-06 (Price: 2484.0)",No Exit Yet,"2.07%, 3 days","88.46%, Past 4 years, 26","Daily, is CONFIRMED on 2026-02-06",Already confirmed,"2026-02-09 (Price: 2535.5), 2.07% above",3 days,"2, 2025-12-08 (Price: 2544.3)",2026-02-05 (Price: 2444.6001),2026-02-06 (Price: 2484.0),4/3/3 days,3.72% above/2.07% above/2.07% above,2025-12-08 (Price: 2656.2392)/2026-02-06 (Price: 2400.2013),13.61%/0.78%/4.84%,"2.25%, 21.55%",3.7 months/7 days/25 days,2026-07-16/2026-02-16/2026-03-14,18.36%,5.23%,13.13%,0.87,0.27,2684.9556/2604.2256/2520.18/2542.0/3926.723/4701.661/2794.81,2272.6/1229.0/2441.018/1752.6342/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),2444.6001,43.432686,20.0,2050100000.0,1823300000.0
