Symbol,Signal_Type,Signal_Date,Signal_Price,Win_Rate,Number_Of_Trades,Win_Rate_Display,Today_Price,Exit_Signal_Raw,Function,Interval,PE_Ratio,Industry_PE,Last_Quarter_Profit,Last_Year_Same_Quarter_Profit,Strategy_CAGR,Strategy_Sharpe,TrendPulse_Start_End,TrendPulse_Start_Price,TrendPulse_End_Price,Exit_Date,Exit_Price,Dedup_Key
HCLTECH.NS,Long,2026-02-09,1597.5,71.43,14,71.43%,1557.9000244140625,No Exit Yet,Distance,Daily,25.553358,28.0,40760000000.0,45910000000.0,3.88,0.02,,,,,,Distance|HCLTECH.NS|2026-02-09|LONG|Daily
MGL.NS,Long,2026-02-09,1174.0,93.75,16,93.75%,1179.699951171875,No Exit Yet,Trendline,Daily,12.231319,16.0,2011500000.0,2867900000.0,7.57,1.24,2024-04-18 (Price: 2302.0)/2026-02-09 (Price: 1120.75),2302.0,1120.75,,,Trendline|MGL.NS|2026-02-09|LONG|Daily
NAUKRI.NS,Long,2026-02-09,1155.6,92.31,13,92.31%,1175.699951171875,No Exit Yet,Distance,Daily,57.71921,20.0,3163950000.0,232590000.0,20.26,0.84,,,,,,Distance|NAUKRI.NS|2026-02-09|LONG|Daily
ZENSARTECH.NS,Long,2026-02-09,635.25,87.5,8,87.50%,613.9500122070312,No Exit Yet,Distance,Daily,19.059006,28.0,1998000000.0,1557000000.0,8.21,0.25,,,,,,Distance|ZENSARTECH.NS|2026-02-09|LONG|Daily
INTELLECT.NS,Long,2026-02-09,763.15,71.43,14,71.43%,744.9500122070312,No Exit Yet,Distance,Daily,29.217222,20.0,284480000.0,528060000.0,4.06,0.03,,,,,,Distance|INTELLECT.NS|2026-02-09|LONG|Daily
AFFLE.NS,Long,2026-02-09,1665.2,88.0,25,88.00%,1650.9000244140625,No Exit Yet,Trendline,Daily,53.030205,20.0,1193240000.0,919910000.0,25.88,0.58,2025-07-14 (Price: 2393.6979)/2026-02-09 (Price: 1638.1786),2393.6979,1638.1786,,,Trendline|AFFLE.NS|2026-02-09|LONG|Daily
ATUL.NS,Long,2026-02-09,6511.5,90.48,21,90.48%,6680.0,No Exit Yet,Trendline,Daily,32.993366,20.0,1607400000.0,1368100000.0,11.38,0.44,2025-12-18 (Price: 6161.9618)/2026-02-09 (Price: 6347.7634),6161.9618,6347.7634,,,Trendline|ATUL.NS|2026-02-09|LONG|Daily
BHARATWIRE.NS,Long,2026-02-09,173.78,96.43,28,96.43%,175.05999755859375,No Exit Yet,Trendline,Daily,15.744852,20.0,182486000.0,148841000.0,47.72,1.36,2025-12-18 (Price: 200.9578)/2026-02-09 (Price: 169.4817),200.9578,169.4817,,,Trendline|BHARATWIRE.NS|2026-02-09|LONG|Daily
CEATLTD.NS,Long,2026-02-09,4021.8999,95.83,24,95.83%,4098.60009765625,No Exit Yet,Trendline,Daily,29.669416,20.0,1557700000.0,1218800000.0,24.34,0.92,2025-10-08 (Price: 4512.6782)/2026-02-09 (Price: 3841.8247),4512.6782,3841.8247,,,Trendline|CEATLTD.NS|2026-02-09|LONG|Daily
AARTIIND.NS,Short,2026-02-09,456.7,85.71,7,85.71%,465.8500061035156,No Exit Yet,Distance,Daily,44.789066,20.0,1330000000.0,520000000.0,8.91,0.27,,,,,,Distance|AARTIIND.NS|2026-02-09|SHORT|Daily
GICRE.NS,Long,2026-02-09,384.35,85.29,34,85.29%,393.7999877929687,No Exit Yet,Trendline,Daily,7.1643286,20.0,17256600000.0,16766200000.0,18.77,0.49,2025-12-17 (Price: 400.0235)/2026-02-09 (Price: 372.9176),400.0235,372.9176,,,Trendline|GICRE.NS|2026-02-09|LONG|Daily
