"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),PE_Ratio,Industry_PE,Last_Quarter_Profit,Last_Year_Same_Quarter_Profit
"ADANIGREEN.NS, Long, 2026-02-17 (Price: 1008.5)",No Exit Yet,"0.0%, 0 days","80.0%, Past 4 years, 10","Daily, is CONFIRMED on 2026-02-17",Already confirmed,"2026-02-17 (Price: 1008.5), 0.0% below",0 days,"2, 2024-08-21 (Price: 1992.95)",2026-02-16 (Price: 985.4),2026-02-17 (Price: 1008.5),1/0/0 days,2.34% above/0.0% below/0.0% below,2024-08-21 (Price: 1992.95)/2026-02-17 (Price: 946.7631),19.37%/4.83%/12.78%,"49.82%, 79.14%",2.6 months/7 days/20 days,2026-06-09/2026-02-27/2026-03-17,-10.38%,25.14%,-35.52%,-0.1,1.04,1135.0667/1137.3863/1599.17/2143.775/2904.8844/3496.9993/No EMA 200 Target,954.25/883.4125/802.8228/676.6486/No F-Track Level/No F-Track Level/996.63,86.51%/252/1.2 month (Across ALL Assets),No Data (Across ALL Assets),117.77262,16.0,-410000000.0,2760000000.0
"ASTRAL.NS, Long, 2026-02-17 (Price: 1642.0)",No Exit Yet,"0.0%, 0 days","100.0%, Past 4 years, 20","Daily, is CONFIRMED on 2026-02-17",Already confirmed,"2026-02-17 (Price: 1642.0), 0.0% below",0 days,"2, 2020-01-28 (Price: 703.1252)",2026-02-13 (Price: 1587.8),2026-02-17 (Price: 1642.0),4/0/0 days,3.41% above/0.0% below/0.0% below,2020-01-28 (Price: 703.1252)/2026-02-17 (Price: 1580.175),11.6%/1.64%/5.41%,"0%, 19.25%",5.6 months/7 days/2.1 months,2026-10-18/2026-02-27/2026-05-19,23.78%,9.71%,14.07%,2.02,0.49,1783.212/1730.8322/2205.32/2017.7/3052.2879/4138.8379/No EMA 200 Target,1347.8/1277.2406/1568.3454/1251.9665/No F-Track Level/No F-Track Level/1449.09,86.51%/252/1.2 month (Across ALL Assets),No Data (Across ALL Assets),88.38951,20.0,1077000000.0,1100000000.0
"LALPATHLAB.NS, Long, 2026-02-17 (Price: 1446.5)",No Exit Yet,"0.0%, 0 days","85.0%, Past 4 years, 20","Daily, is CONFIRMED on 2026-02-17",Already confirmed,"2026-02-17 (Price: 1446.5), 0.0% below",0 days,"2, 2025-09-19 (Price: 1770.0)",2026-02-17 (Price: 1446.5),2026-02-17 (Price: 1446.5),0/0/0 days,0.0% below/0.0% below/0.0% below,2025-09-19 (Price: 1770.0)/2026-02-17 (Price: 1411.5965),11.45%/2.23%/6.66%,"37.22%, 52.75%",2.8 months/6 days/20 days,2026-06-18/2026-02-25/2026-03-17,5.65%,7.83%,-2.18%,0.2,0.4,1562.9433/1542.8369/1640.6/1650.075/2477.5576/2634.1521/1504.54,1405.5/891.9/1245.124/1184.5255/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),No Data (Across ALL Assets),45.29356,20.0,905000000.0,967000000.0
"TORNTPOWER.NS, Long, 2026-02-17 (Price: 1488.3)",No Exit Yet,"0.0%, 0 days","84.62%, Past 4 years, 26","Daily, is CONFIRMED on 2026-02-17",Already confirmed,"2026-02-17 (Price: 1488.3), 0.0% below",0 days,"6, 2020-01-27 (Price: 330.7)",2026-02-16 (Price: 1462.5),2026-02-17 (Price: 1488.3),1/0/0 days,1.76% above/0.0% below/0.0% below,2020-01-27 (Price: 330.7)/2026-02-17 (Price: 1447.5493),14.87%/1.88%/6.64%,"11.27%, 29.87%",2 months/7 days/18 days,2026-05-14/2026-02-27/2026-03-15,18.94%,19.49%,-0.55%,0.29,0.94,1578.491/1587.1231/2182.86/1636.5/2311.6879/2944.4238/No EMA 200 Target,1270.7/433.7/1480.8384/978.9796/No F-Track Level/No F-Track Level/1341.8,86.51%/252/1.2 month (Across ALL Assets),No Data (Across ALL Assets),23.650366,16.0,6430800000.0,4756600000.0
"BLUESTARCO.NS, Long, 2026-02-13 (Price: 2002.5)",No Exit Yet,"-0.02%, 4 days","92.86%, Past 4 years, 14","Daily, is CONFIRMED on 2026-02-13",Already confirmed,"2026-02-17 (Price: 2002.0), 0.02% below",4 days,"2, 2020-01-16 (Price: 434.5)",2026-02-11 (Price: 1957.5),2026-02-13 (Price: 2002.5),6/4/4 days,2.27% above/0.02% below/0.02% below,2020-01-16 (Price: 434.5)/2026-02-13 (Price: 1938.9261),13.07%/0.85%/4.79%,"18.65%, 34.45%",1.2 month/7 days/17 days,2026-04-06/2026-02-23/2026-03-09,11.07%,19.19%,-8.12%,0.44,0.94,2180.5222/2098.4198/2943.3/2036.45/2350.133/2514.1831/No EMA 200 Target,1667.5/423.85/1540.2098/1315.5968/No F-Track Level/No F-Track Level/1787.21,86.51%/252/1.2 month (Across ALL Assets),No Data (Across ALL Assets),83.17427,20.0,806600000.0,961900000.0
"DRREDDY.NS, Long, 2026-02-13 (Price: 1275.5)",No Exit Yet,"0.16%, 4 days","100.0%, Past 4 years, 30","Daily, is CONFIRMED on 2026-02-13",Already confirmed,"2026-02-17 (Price: 1277.5), 0.16% above",4 days,"6, 2025-06-12 (Price: 1379.7)",2026-02-11 (Price: 1270.0),2026-02-13 (Price: 1275.5),6/4/4 days,0.59% above/0.16% above/0.16% above,2025-06-12 (Price: 1379.7)/2026-02-13 (Price: 1252.4832),5.7%/0.81%/3.4%,"-0.0%, 24.21%",4 months/7 days/1 month,2026-08-05/2026-02-23/2026-03-28,16.5%,9.66%,6.84%,2.26,0.54,1335.4485/1318.867/1338.02/1402.3633/1484.6206/1604.7586/No EMA 200 Target,1157.2/803.7/1152.9738/1008.4883/No F-Track Level/No F-Track Level/1254.84,86.51%/252/1.2 month (Across ALL Assets),No Data (Across ALL Assets),18.93241,20.0,12098000000.0,14133000000.0
"MFSL.NS, Long, 2026-02-13 (Price: 1838.5)",No Exit Yet,"1.2%, 4 days","80.0%, Past 4 years, 20","Daily, is CONFIRMED on 2026-02-13",Already confirmed,"2026-02-17 (Price: 1860.6), 1.2% above",4 days,"0, 2021-01-08 (Price: 740.45)",2026-02-12 (Price: 1813.5),2026-02-13 (Price: 1838.5),5/4/4 days,2.6% above/1.2% above/1.2% above,2021-01-08 (Price: 740.45)/2026-02-13 (Price: 1796.1353),9.23%/2.35%/5.66%,"17.53%, 28.68%",4.1 months/8 days/1.6 month,2026-08-08/2026-02-24/2026-04-23,13.68%,14.49%,-0.81%,0.13,0.7,1923.9903/1942.5591/2497.33/No Horizontal Resistance/1792.5323/1920.7069/No EMA 200 Target,1576.6/698.25/1557.7732/1423.1278/No F-Track Level/No F-Track Level/1586.32,86.51%/252/1.2 month (Across ALL Assets),No Data (Across ALL Assets),437.34116,20.0,365600000.0,560400000.0
"APOLLOHOSP.NS, Long, 2026-02-12 (Price: 7539.0)",No Exit Yet,"0.81%, 5 days","94.44%, Past 4 years, 18","Daily, is CONFIRMED on 2026-02-12",Already confirmed,"2026-02-17 (Price: 7600.0), 0.81% above",5 days,"4, 2025-10-23 (Price: 8099.5)",2026-02-10 (Price: 7219.0),2026-02-12 (Price: 7539.0),7/5/5 days,5.28% above/0.81% above/0.81% above,2025-10-23 (Price: 8099.5)/2026-02-12 (Price: 7194.0096),4.47%/0.92%/3.3%,"10.35%, 28.71%",3.7 months/6 days/20 days,2026-07-22/2026-02-20/2026-03-12,11.61%,21.04%,-9.43%,0.72,1.07,7893.333/7787.787/7875.3/8039.75/10328.7816/16124.9701/No EMA 200 Target,6793.5/4147.0/6746.5385/4532.5931/No F-Track Level/No F-Track Level/7335.36,86.51%/252/1.2 month (Across ALL Assets),No Data (Across ALL Assets),60.497215,20.0,5023000000.0,3788000000.0
"BRITANNIA.NS, Long, 2026-02-12 (Price: 6102.0)",No Exit Yet,"0.19%, 5 days","100.0%, Past 4 years, 20","Daily, is CONFIRMED on 2026-02-12",Already confirmed,"2026-02-17 (Price: 6113.5), 0.19% above",5 days,"2, 2026-01-07 (Price: 6271.0)",2026-02-10 (Price: 5873.5),2026-02-12 (Price: 6102.0),7/5/5 days,4.09% above/0.19% above/0.19% above,2026-01-07 (Price: 6271.0)/2026-02-12 (Price: 5860.5833),7.03%/1.85%/4.89%,"-0.0%, 12.04%",2.7 months/6 days/17 days,2026-06-09/2026-02-20/2026-03-08,21.21%,8.22%,12.99%,2.55,0.46,6333.876/6400.3878/6203.4/6334.6/6601.4005/10514.0702/No EMA 200 Target,5723.0/3393.1667/4099.0388/2552.4941/No F-Track Level/No F-Track Level/5803.57,86.51%/252/1.2 month (Across ALL Assets),No Data (Across ALL Assets),61.409027,20.0,6799600000.0,5314500000.0
"EICHERMOT.NS, Long, 2026-02-12 (Price: 7943.0)",No Exit Yet,"1.08%, 5 days","95.45%, Past 4 years, 22","Daily, is CONFIRMED on 2026-02-12",Already confirmed,"2026-02-17 (Price: 8029.0), 1.08% above",5 days,"0, 2020-07-30 (Price: 2172.5)",2026-02-10 (Price: 7296.0),2026-02-12 (Price: 7943.0),7/5/5 days,10.05% above/1.08% above/1.08% above,2020-07-30 (Price: 2172.5)/2026-02-12 (Price: 7498.5615),10.11%/1.33%/4.38%,"4.7%, 19.12%",3.4 months/8 days/22 days,2026-07-09/2026-02-23/2026-03-15,23.6%,14.99%,8.61%,1.15,0.79,8885.0398/8290.9034/11405.3/No Horizontal Resistance/9416.2354/14426.4332/No EMA 200 Target,6973.0/2324.5667/6319.7878/5538.8055/No F-Track Level/No F-Track Level/6418.58,86.51%/252/1.2 month (Across ALL Assets),No Data (Across ALL Assets),41.34645,20.0,14206100000.0,11705000000.0
