"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price,PE_Ratio,Industry_PE,Last_Quarter_Profit,Last_Year_Same_Quarter_Profit
"CUMMINSIND.NS, Long, 2026-02-06 (Price: 4368.3999)",No Exit Yet,"0.0%, 0 days","86.96%, Past 4 years, 23","Daily, is CONFIRMED on 2026-02-06",Already confirmed,"2026-02-06 (Price: 4368.3999), 0.0% below",0 days,"2, 2025-12-08 (Price: 4467.0)",2026-02-04 (Price: 4197.5),2026-02-06 (Price: 4368.3999),2/0/0 days,4.07% above/0.0% below/0.0% below,2025-12-08 (Price: 4736.8665)/2026-02-06 (Price: 4008.0167),10.25%/1.35%/4.71%,"8.35%, 26.72%",1.3 month/7 days/20 days,2026-04-03/2026-02-16/2026-03-06,20.74%,27.61%,-6.87%,0.88,1.42,4812.6662/4574.1515/4427.56/No Horizontal Resistance/4738.6704/5587.1395/No EMA 200 Target,3928.3/940.675/4349.1217/3536.7289/No F-Track Level/No F-Track Level/3814.36,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),4319.1001,54.050976,20.0,4860600000.0,4493700000.0
"GATEWAY.NS, Long, 2026-02-06 (Price: 60.74)",No Exit Yet,"0.0%, 0 days","78.57%, Past 4 years, 14","Daily, is CONFIRMED on 2026-02-06",Already confirmed,"2026-02-06 (Price: 60.74), 0.0% below",0 days,"8, 2025-07-10 (Price: 66.99)",2026-02-06 (Price: 60.74),2026-02-06 (Price: 60.74),0/0/0 days,0.0% below/0.0% below/0.0% below,2025-07-10 (Price: 77.2787)/2026-02-06 (Price: 59.7697),6.84%/3.37%/4.33%,"41.91%, 48.06%",2.8 months/6 days/21 days,2026-06-07/2026-02-14/2026-03-08,-11.92%,-3.26%,-8.66%,-0.09,-0.15,61.7361/63.37/64.49/92.65/124.1872/136.7964/62.84,55.98/57.2967/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),60.0,2024.6667,20.0,602538000.0,486730000.0
"GLAXO.NS, Long, 2026-02-06 (Price: 2484.0)",No Exit Yet,"0.0%, 0 days","88.46%, Past 4 years, 26","Daily, is CONFIRMED on 2026-02-06",Already confirmed,"2026-02-06 (Price: 2484.0), 0.0% below",0 days,"2, 2025-12-08 (Price: 2544.3)",2026-02-05 (Price: 2444.6001),2026-02-06 (Price: 2484.0),1/0/0 days,1.61% above/0.0% below/0.0% below,2025-12-08 (Price: 2656.2392)/2026-02-06 (Price: 2400.2013),13.61%/0.78%/4.84%,"2.25%, 21.55%",3.7 months/7 days/25 days,2026-07-16/2026-02-16/2026-03-14,18.36%,5.23%,13.13%,0.87,0.27,2684.9556/2604.2256/2520.18/2542.0/3926.723/4701.661/2794.81,2272.6/1229.0/2441.018/1752.6342/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),2444.6001,44.050365,20.0,2050100000.0,1823300000.0
"IONEXCHANG.NS, Long, 2026-02-06 (Price: 378.6)",No Exit Yet,"0.0%, 0 days","100.0%, Past 4 years, 11","Daily, is CONFIRMED on 2026-02-06",Already confirmed,"2026-02-06 (Price: 378.6), 0.0% below",0 days,"2, 2025-12-15 (Price: 382.2)",2026-02-04 (Price: 360.2),2026-02-06 (Price: 378.6),2/0/0 days,5.11% above/0.0% below/0.0% below,2025-12-15 (Price: 417.0798)/2026-02-06 (Price: 350.9753),20.39%/0.45%/10.12%,"-0.0%, 18.19%",3.9 months/7 days/1.7 month,2026-07-25/2026-02-16/2026-04-20,26.45%,13.48%,12.97%,0.95,0.64,394.0847/416.9143/380.76/607.6/No Next Fib Ext/No Next Fib Ext/442.12,349.55/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),375.25,24.696674,20.0,203000000.0,509400000.0
"LICI.NS, Long, 2026-02-06 (Price: 901.85)",No Exit Yet,"0.0%, 0 days","100.0%, Past 4 years, 24","Daily, is CONFIRMED on 2026-02-06",Already confirmed,"2026-02-06 (Price: 901.85), 0.0% below",0 days,"2, 2025-10-24 (Price: 889.65)",2026-02-05 (Price: 839.75),2026-02-06 (Price: 901.85),1/0/0 days,7.4% above/0.0% below/0.0% below,2025-10-24 (Price: 938.2974)/2026-02-06 (Price: 834.4682),15.91%/0.34%/4.22%,"-0.0%, 19.73%",5 months/7 days/1.4 month,2026-09-11/2026-02-16/2026-04-07,38.9%,-0.42%,39.32%,0.8,-0.03,940.2688/939.9081/909.17/993.9/1290.2642/1458.8656/No EMA 200 Target,802.15/592.675/823.0821/No support/No F-Track Level/No F-Track Level/883.8,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),847.45,10.752951,20.0,129304400000.0,77286800000.0
"MANAPPURAM.NS, Long, 2026-02-06 (Price: 300.9)",No Exit Yet,"0.0%, 0 days","95.65%, Past 4 years, 23","Daily, is CONFIRMED on 2026-02-06",Already confirmed,"2026-02-06 (Price: 300.9), 0.0% below",0 days,"0, 2024-04-16 (Price: 188.85)",2026-02-06 (Price: 300.9),2026-02-06 (Price: 300.9),0/0/0 days,0.0% below/0.0% below/0.0% below,2024-04-16 (Price: 296.8397)/2026-02-06 (Price: 291.4086),13.8%/0.66%/5.59%,"1.33%, 19.12%",3.3 months/7 days/1 month,2026-06-29/2026-02-16/2026-03-21,22.81%,6.39%,16.42%,1.64,0.36,330.2077/317.7203/368.13/No Horizontal Resistance/339.0094/376.0155/No EMA 200 Target,279.4/101.575/286.0632/271.2564/No F-Track Level/No F-Track Level/273.16,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),291.85,64.15778,10.0,2410600000.0,5706500000.0
"PAGEIND.NS, Long, 2026-02-06 (Price: 35560.0)",No Exit Yet,"0.0%, 0 days","81.25%, Past 4 years, 16","Daily, is CONFIRMED on 2026-02-06",Already confirmed,"2026-02-06 (Price: 35560.0), 0.0% below",0 days,"2, 2025-09-25 (Price: 42625.0)",2026-02-06 (Price: 35560.0),2026-02-06 (Price: 35560.0),0/0/0 days,0.0% below/0.0% below/0.0% below,2025-09-25 (Price: 43766.6729)/2026-02-06 (Price: 35032.2744),6.39%/1.05%/4.15%,"22.98%, 32.58%",2.1 months/9 days/27 days,2026-05-08/2026-02-19/2026-03-17,4.5%,6.11%,-1.61%,-0.07,0.32,37256.212/37035.74/39799.0/49746.6497/53705.601/60469.4909/42369.1,32520.0/33173.0169/31181.5138/26436.6581/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),34450.0,52.910366,20.0,1895364000.0,2046550000.0
"SAIL.NS, Long, 2026-02-06 (Price: 160.52)",No Exit Yet,"0.0%, 0 days","73.91%, Past 4 years, 23","Daily, is CONFIRMED on 2026-02-06",Already confirmed,"2026-02-06 (Price: 160.52), 0.0% below",0 days,"2, 2025-11-03 (Price: 137.97)",2026-02-05 (Price: 158.5),2026-02-06 (Price: 160.52),1/0/0 days,1.27% above/0.0% below/0.0% below,2025-11-03 (Price: 145.0094)/2026-02-06 (Price: 155.867),20.71%/1.38%/5.47%,"31.42%, 42.63%",4.4 months/6 days/1.2 month,2026-08-16/2026-02-14/2026-03-30,10.91%,14.46%,-3.55%,-0.08,0.67,171.6601/169.3004/174.05/No Horizontal Resistance/310.5036/380.5902/No EMA 200 Target,145.4/73.475/147.5048/127.2226/No F-Track Level/No F-Track Level/132.55,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),158.0,25.890324,20.0,7445800000.0,817800000.0
"CHENNPETRO.NS, Long, 2026-02-05 (Price: 894.4)",No Exit Yet,"1.25%, 1 day","100.0%, Past 4 years, 11","Daily, is CONFIRMED on 2026-02-05",Already confirmed,"2026-02-06 (Price: 905.6), 1.25% above",1 day,"2, 2025-12-05 (Price: 928.15)",2026-02-04 (Price: 885.3),2026-02-05 (Price: 894.4),2/1/1 days,2.29% above/1.25% above/1.25% above,2025-12-05 (Price: 958.2411)/2026-02-05 (Price: 864.1161),12.24%/1.6%/5.82%,"0%, 19.29%",20 days/7 days/11 days,2026-03-05/2026-02-15/2026-02-20,25.05%,27.3%,-2.25%,2.04,1.1,1315.1258/946.4541/914.65/1112.75/1138.7329/1375.8825/No EMA 200 Target,782.7/95.0875/724.6829/No support/No F-Track Level/No F-Track Level/768.67,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),888.0,6.269731,20.0,10015900000.0,-6336900000.0
"DMART.NS, Long, 2026-02-05 (Price: 3934.8999)",No Exit Yet,"-1.14%, 1 day","91.18%, Past 4 years, 34","Daily, is CONFIRMED on 2026-02-05",Already confirmed,"2026-02-06 (Price: 3889.8999), 1.14% below",1 day,"4, 2025-08-12 (Price: 4252.5)",2026-02-04 (Price: 3846.6001),2026-02-05 (Price: 3934.8999),2/1/1 days,1.13% above/1.14% below/1.14% below,2025-08-12 (Price: 4945.7318)/2026-02-05 (Price: 3767.1298),9.79%/1.74%/5.56%,"21.95%, 36.86%",3.7 months/6 days/24 days,2026-07-15/2026-02-13/2026-03-11,18.25%,8.5%,9.75%,0.57,0.44,4202.0796/4153.6803/4125.46/4554.0667/5229.8756/5517.2662/4156.74,3656.7/3370.67/3469.2237/2647.0408/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),3849.0,88.48726,20.0,8559200000.0,6595800000.0
