"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),PE_Ratio,Industry_PE,Last_Quarter_Profit,Last_Year_Same_Quarter_Profit
"KPITTECH.NS, Long, 2026-02-17 (Price: 879.3)",No Exit Yet,"0.0%, 0 days","91.67%, Past 4 years, 12","Daily, is CONFIRMED on 2026-02-17",Already confirmed,"2026-02-17 (Price: 879.3), 0.0% below",0 days,8.72%/2.64%/5.24%,"7.55%, 7.55%",24 days/1 day/9 days,2026-03-23/2026-02-18/2026-03-02,30.89%,35.14%,-4.25%,1.03,1.55,975.8471/925.3753/950.61/1924.85/2233.9378/3556.3685/1215.07,862.7/628.775/599.3236/406.3835/No F-Track Level/No F-Track Level/No EMA 200 Support,90.14%/71/10 days (Across ALL Assets),71.8%/1078/16 days (Across ALL Assets),33.522682,20.0,1333040000.0,1869700000.0
"HCLTECH.NS, Long, 2026-02-16 (Price: 1451.4)",No Exit Yet,"2.15%, 1 day","71.43%, Past 4 years, 14","Daily, was CONFIRMED on 2026-02-16",Already confirmed,"2026-02-17 (Price: 1482.6), 2.15% above",1 day,5.6%/1.82%/3.16%,"10.55%, 11.58%",1.9 month/1 day/20 days,2026-05-09/2026-02-17/2026-03-16,3.88%,6.58%,-2.7%,0.02,0.35,1516.8581/1497.2642/1507.06/No Horizontal Resistance/1944.8615/2570.623/1582.92,1385.1/883.45/1119.8583/701.6786/No F-Track Level/No F-Track Level/No EMA 200 Support,90.14%/71/10 days (Across ALL Assets),71.8%/1078/16 days (Across ALL Assets),24.441147,28.0,40760000000.0,45910000000.0
"HCLTECH.NS, Long, 2026-02-09 (Price: 1602.0)",2026-02-13 (Price: 1463.0),"-8.68%, 4 days","71.43%, Past 4 years, 14","Daily, was CONFIRMED on 2026-02-09",Already confirmed,"2026-02-17 (Price: 1482.6), 7.45% below",8 days,5.6%/1.82%/3.16%,"10.55%, 11.58%",1.9 month/1 day/20 days,2026-05-02/2026-02-10/2026-03-09,3.88%,6.58%,-2.7%,0.02,0.35,1674.2502/1652.6232/1663.44/No Horizontal Resistance/1944.8615/2570.623/No EMA 200 Target,1593.7/883.45/1558.1115/1119.8583/No F-Track Level/No F-Track Level/1582.92,90.14%/71/10 days (Across ALL Assets),71.8%/1078/16 days (Across ALL Assets),24.441147,28.0,40760000000.0,45910000000.0
"KPITTECH.NS, Long, 2026-02-04 (Price: 981.4)",2026-02-13 (Price: 862.7),"-12.09%, 9 days","91.67%, Past 4 years, 12","Daily, was CONFIRMED on 2026-02-04",Already confirmed,"2026-02-17 (Price: 879.3), 10.4% below",13 days,8.72%/2.64%/5.24%,"7.55%, 7.55%",24 days/1 day/9 days,2026-03-10/2026-02-05/2026-02-17,30.89%,35.14%,-4.25%,1.03,1.55,1089.1577/1032.8254/1060.99/1924.85/2233.9378/3556.3685/1215.07,No Recent Minima/628.775/911.5071/599.3236/No F-Track Level/No F-Track Level/No EMA 200 Support,90.14%/71/10 days (Across ALL Assets),71.8%/1078/16 days (Across ALL Assets),33.522682,20.0,1333040000.0,1869700000.0
"THYROCARE.NS, Long, 2026-02-04 (Price: 397.0)",2026-02-17 (Price: 420.35),"5.88%, 13 days","72.73%, Past 4 years, 11","Daily, was CONFIRMED on 2026-02-04",Already confirmed,"2026-02-17 (Price: 420.35), 5.88% above",13 days,10.72%/3.9%/7.19%,"11.8%, 15.05%",2.1 months/4 days/17 days,2026-05-06/2026-02-09/2026-02-28,8.76%,5.03%,3.73%,0.23,0.28,405.5355/425.5443/415.54/483.3333/497.5299/525.1587/410.58,389.95/170.0666/377.0973/329.6079/No F-Track Level/No F-Track Level/No EMA 200 Support,90.14%/71/10 days (Across ALL Assets),71.8%/1078/16 days (Across ALL Assets),48.26062,20.0,290100000.0,191100000.0
"LTTS.NS, Long, 2026-01-21 (Price: 3898.7)",2026-02-17 (Price: 3511.5),"-9.93%, 27 days","78.57%, Past 4 years, 14","Daily, was CONFIRMED on 2026-01-21",Already confirmed,"2026-02-17 (Price: 3511.5), 9.93% below",27 days,5.37%/2.58%/4.11%,"14.32%, 16.5%",1.3 month/1 day/12 days,2026-03-18/2026-01-22/2026-02-07,5.87%,7.99%,-2.12%,0.08,0.41,4045.681/4058.9366/4052.31/5912.4125/6320.9368/7102.7535/4256.12,3825.9/3278.6334/3618.9085/3355.498/No F-Track Level/No F-Track Level/No EMA 200 Support,90.14%/71/10 days (Across ALL Assets),71.8%/1078/16 days (Across ALL Assets),29.615417,28.0,3026000000.0,3196000000.0
"NATCOPHARM.NS, Long, 2026-01-21 (Price: 839.75)",2026-02-16 (Price: 903.1),"7.54%, 26 days","80.0%, Past 4 years, 15","Daily, was CONFIRMED on 2026-01-21",Already confirmed,"2026-02-17 (Price: 884.7), 5.35% above",27 days,9.26%/2.56%/4.53%,"11.88%, 13.36%",1.4 month/3 days/10 days,2026-03-22/2026-01-25/2026-02-04,9.17%,-0.56%,9.73%,0.28,0.01,841.1776/877.7907/859.48/1188.525/1804.4707/1893.0475/878.03,822.75/725.5/728.4629/628.5191/No F-Track Level/No F-Track Level/No EMA 200 Support,90.14%/71/10 days (Across ALL Assets),71.8%/1078/16 days (Across ALL Assets),10.179496,20.0,1515000000.0,1330000000.0
"INDHOTEL.NS, Long, 2026-01-14 (Price: 689.45)",2026-02-12 (Price: 712.0),"3.27%, 29 days","100.0%, Past 4 years, 8","Daily, was CONFIRMED on 2026-01-14",Already confirmed,"2026-02-17 (Price: 687.75), 0.25% below",1.1 month,5.45%/2.58%/3.71%,"0%, 3.52%",21 days/1 day/7 days,2026-02-13/2026-01-15/2026-01-24,12.78%,27.77%,-14.99%,3.51,1.4,765.979/715.0286/740.5/713.075/984.6349/1275.6745/739.39,678.15/228.3749/636.3167/507.511/No F-Track Level/No F-Track Level/No EMA 200 Support,90.14%/71/10 days (Across ALL Assets),71.8%/1078/16 days (Across ALL Assets),48.776596,20.0,9032300000.0,5545800000.0
"LINDEINDIA.NS, Short, 2026-02-17 (Price: 6818.5)",No Exit Yet,"-0.0%, 0 days","80.0%, Past 4 years, 10","Daily, is CONFIRMED on 2026-02-17",Already confirmed,"2026-02-17 (Price: 6818.5), 0.0% below",0 days,4.0%/2.67%/3.24%,"10.91%, 12.61%",1.4 month/1 day/8 days,2026-04-18/2026-02-18/2026-02-28,5.33%,5.1%,0.23%,0.07,1.32,6489.8483/6597.5806/6543.71/2275.0/6264.8943/5190.2168/6373.76,No support/2275.0/6264.8943/5190.2168/No F-Track Level/No F-Track Level/No EMA 200 Support,No Data (Across ALL Assets),68.15%/248/8 days (Across ALL Assets),98.775894,20.0,1933250000.0,1064240000.0
"BANDHANBNK.NS, Short, 2026-02-12 (Price: 169.54)",No Exit Yet,"0.65%, 5 days","100.0%, Past 4 years, 4","Daily, was CONFIRMED on 2026-02-12",Already confirmed,"2026-02-17 (Price: 168.43), 0.65% below",5 days,3.09%/1.5%/2.22%,"0%, 3.09%",10 days/1 day/3 days,2026-02-26/2026-02-13/2026-02-16,7.69%,5.1%,2.59%,3.03,-0.49,149.8903/165.7762/157.83/No Horizontal Support/No F-Stack Support/No F-Stack Support/162.84,No support/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,No Data (Across ALL Assets),68.15%/248/8 days (Across ALL Assets),26.9488,20.0,2055909000.0,9374450000.0
